sin(x)
|       x       |           f(x)       |
|      -1       |       -37.3007       |
|    -0.7       |       -19.1425       |
|    -0.4       |       -7.61176       |
|    -0.1       |       -1.14251       |
|     0.2       |        0.86035       |
|     0.5       |       -1.15015       |
|     0.8       |       -6.40554       |
|     1.1       |       -12.4307       |
|     1.4       |       0.328519       |
|     1.7       |       -129.941       |
|       2       |       -112.571       |
|     2.3       |       -135.168       |
|     2.6       |       -166.537       |
|     2.9       |       -203.572       |
|     3.2       |       -245.351       |
|     3.5       |       -291.354       |
|     3.8       |       -340.983       |
|     4.1       |        -392.87       |
|     4.4       |       -440.821       |
|     4.7       |        114.542       |
|       5       |       -628.003       |
sin(x) + 8* tg(x) - 24*x^2
|       x       |           f(x)       |
|      -1       |       -37.3007       |
|    -0.7       |       -19.1425       |
|    -0.4       |       -7.61176       |
|    -0.1       |       -1.14251       |
|     0.2       |        0.86035       |
|     0.5       |       -1.15015       |
|     0.8       |       -6.40554       |
|     1.1       |       -12.4307       |
|     1.4       |       0.328519       |
|     1.7       |       -129.941       |
|       2       |       -112.571       |
|     2.3       |       -135.168       |
|     2.6       |       -166.537       |
|     2.9       |       -203.572       |
|     3.2       |       -245.351       |
|     3.5       |       -291.354       |
|     3.8       |       -340.983       |
|     4.1       |        -392.87       |
|     4.4       |       -440.821       |
|     4.7       |        114.542       |
|       5       |       -628.003       |
